Ano e mês,Bairro/Rua,Data,Clima,Horário de Avaliação do Ponto,Périodo do dia,Direção,horas,minutos,bikes disponiveis para contratar
2018 Q1 (January-March),Regent Street,"seg., 19/02/18",Dry,0600 - 0615,Early Morning (06:00-07:00),Northbound,8,0,0
2018 Q1 (January-March),Regent Street,"seg., 19/02/18",Dry,0600 - 0615,Early Morning (06:00-07:00),Southbound,10,0,0
2018 Q1 (January-March),Regent Street,"seg., 19/02/18",Dry,0615 - 0630,Early Morning (06:00-07:00),Northbound,8,15,0
2018 Q1 (January-March),Regent Street,"seg., 19/02/18",Dry,0615 - 0630,Early Morning (06:00-07:00),Southbound,10,15,0
2018 Q1 (January-March),Regent Street,"seg., 19/02/18",Dry,0630 - 0645,Early Morning (06:00-07:00),Northbound,8,30,0
2018 Q1 (January-March),Regent Street,"seg., 19/02/18",Dry,0630 - 0645,Early Morning (06:00-07:00),Southbound,10,30,0
2018 Q1 (January-March),Regent Street,"seg., 19/02/18",Dry,0645 - 0700,Early Morning (06:00-07:00),Southbound,10,45,0
2018 Q1 (January-March),Regent Street,"seg., 19/02/18",Dry,0700 - 0715,AM peak (07:00-10:00),Northbound,8,0,0
2018 Q1 (January-March),Regent Street,"seg., 19/02/18",Dry,0700 - 0715,AM peak (07:00-10:00),Southbound,10,0,0
2018 Q1 (January-March),Regent Street,"seg., 19/02/18",Dry,0715 - 0730,AM peak (07:00-10:00),Southbound,10,15,0
2018 Q1 (January-March),Regent Street,"seg., 19/02/18",Dry,0730 - 0745,AM peak (07:00-10:00),Northbound,8,30,0
2018 Q1 (January-March),Regent Street,"seg., 19/02/18",Dry,0730 - 0745,AM peak (07:00-10:00),Southbound,10,30,0
2018 Q1 (January-March),Regent Street,"seg., 19/02/18",Dry,0745 - 0800,AM peak (07:00-10:00),Northbound,8,45,0
2018 Q1 (January-March),Regent Street,"seg., 19/02/18",Dry,0800 - 0815,AM peak (07:00-10:00),Southbound,10,0,0
2018 Q1 (January-March),Regent Street,"seg., 19/02/18",Dry,0815 - 0830,AM peak (07:00-10:00),Southbound,10,15,0
2018 Q1 (January-March),Regent Street,"seg., 19/02/18",Dry,0830 - 0845,AM peak (07:00-10:00),Southbound,10,30,0
2018 Q1 (January-March),Regent Street,"seg., 19/02/18",Dry,0845 - 0900,AM peak (07:00-10:00),Southbound,10,45,0
