Ano e mês,id,Bairro/Rua,Data,Clima,Horário de Avaliação do Ponto,Périodo do dia,Direção,horas,minutos,ignora 1,ignora 2,ignora 3
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Wet,0600 - 0615,Early Morning (06:00-07:00),Eastbound,6,0,6,0,6
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Wet,0615 - 0630,Early Morning (06:00-07:00),Eastbound,6,15,9,0,9
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Wet,0630 - 0645,Early Morning (06:00-07:00),Eastbound,6,30,11,2,13
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Wet,0645 - 0700,Early Morning (06:00-07:00),Eastbound,6,45,15,0,15
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Wet,0700 - 0715,AM peak (07:00-10:00),Eastbound,7,0,10,1,11
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Wet,0715 - 0730,AM peak (07:00-10:00),Eastbound,7,15,20,3,23
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Wet,0730 - 0745,AM peak (07:00-10:00),Eastbound,7,30,14,0,14
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Wet,0745 - 0800,AM peak (07:00-10:00),Eastbound,7,45,21,1,22
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Wet,0800 - 0815,AM peak (07:00-10:00),Eastbound,8,0,16,4,20
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Wet,0815 - 0830,AM peak (07:00-10:00),Eastbound,8,15,24,3,27
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Wet,0830 - 0845,AM peak (07:00-10:00),Eastbound,8,30,29,1,30
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"qua., 21/03/18",Wet,0845 - 0900,AM peak (07:00-10:00),Eastbound,8,45,30,1,31
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"ter., 20/03/18",Wet,0900 - 0915,AM peak (07:00-10:00),Eastbound,9,0,19,1,20
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"ter., 20/03/18",Wet,0915 - 0930,AM peak (07:00-10:00),Eastbound,9,15,15,2,17
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"ter., 20/03/18",Wet,0930 - 0945,AM peak (07:00-10:00),Eastbound,9,30,10,1,11
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"ter., 20/03/18",Wet,0945 - 1000,AM peak (07:00-10:00),Eastbound,9,45,9,0,9
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"ter., 20/03/18",Wet,1000 - 1015,Inter-peak (10:00-16:00),Eastbound,10,0,7,0,7
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"ter., 20/03/18",Wet,1015 - 1030,Inter-peak (10:00-16:00),Eastbound,10,15,12,0,12
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"ter., 20/03/18",Wet,1030 - 1045,Inter-peak (10:00-16:00),Eastbound,10,30,8,1,9
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"ter., 20/03/18",Wet,1045 - 1100,Inter-peak (10:00-16:00),Eastbound,10,45,10,0,10
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"ter., 20/03/18",Wet,1100 - 1115,Inter-peak (10:00-16:00),Eastbound,11,0,5,3,8
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"ter., 20/03/18",Wet,1115 - 1130,Inter-peak (10:00-16:00),Eastbound,11,15,6,0,6
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"ter., 20/03/18",Wet,1130 - 1145,Inter-peak (10:00-16:00),Eastbound,11,30,7,5,12
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"ter., 20/03/18",Wet,1145 - 1200,Inter-peak (10:00-16:00),Eastbound,11,45,13,2,15
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"ter., 20/03/18",Wet,1200 - 1215,Inter-peak (10:00-16:00),Eastbound,12,0,9,1,10
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"ter., 20/03/18",Wet,1215 - 1230,Inter-peak (10:00-16:00),Eastbound,12,15,8,2,10
2018 Q1 (January-March),2017-18 Q4,Oxford Street (east),"ter., 20/03/18",Wet,1230 - 1245,Inter-peak (10:00-16:00),Eastbound,12,30,8,3,11
